,zip_code,0-5_slots_built,total_slots_built,small_buildings,med_buildings,large_buildings,05_added,512_added,012_added,012_existing,05_existing,new_total_05,new_total_012,05_pop,012_pop,is_hd
157,10925.0,100.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,69,9.0,109.0,269.0,160.0,534.0,0.0
158,10926.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,40,0.0,200.0,440.0,250.0,604.0,0.0
159,10927.0,400.0,800.0,0.0,0.0,2.0,0.0,0.0,0.0,619,317.0,717.0,1419.0,1057.0,2267.0,1.0
160,10928.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,101,7.0,207.0,501.0,222.0,787.0,0.0
161,10930.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,92,65.0,265.0,492.0,323.0,1310.0,0.0
162,10940.0,1400.0,2800.0,0.0,0.0,7.0,7.0,0.0,7.0,1566,877.0,2284.0,4373.0,3426.0,8667.0,0.0
163,10941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723,506.0,506.0,723.0,643.0,1766.0,0.0
164,10950.0,5200.0,10400.0,0.0,0.0,26.0,46.0,0.0,46.0,713,526.0,5772.0,11159.0,8658.0,20702.0,0.0
165,10952.0,4500.0,9000.0,0.0,1.0,22.0,0.0,0.0,0.0,581,267.0,4767.0,9581.0,7131.0,16206.0,0.0
166,10954.0,800.0,1600.0,0.0,0.0,4.0,1.0,0.0,1.0,952,162.0,963.0,2553.0,1444.0,3621.0,0.0
167,10956.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,194.0,1649,886.0,1080.0,1843.0,1619.0,4514.0,0.0
168,10960.0,100.0,200.0,0.0,1.0,0.0,12.0,0.0,12.0,460,300.0,412.0,672.0,618.0,1768.0,0.0
169,10962.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,16,5.0,205.0,416.0,180.0,618.0,0.0
170,10963.0,50.0,100.0,1.0,0.0,0.0,18.0,0.0,18.0,124,56.0,124.0,242.0,185.0,572.0,0.0
171,10964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,111.0,111.0,135.0,21.0,128.0,0.0
172,10965.0,200.0,400.0,0.0,0.0,1.0,53.0,0.0,53.0,615,403.0,656.0,1068.0,984.0,2806.0,0.0
173,10968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,173.0,173.0,173.0,167.0,251.0,0.0
174,10970.0,650.0,1300.0,1.0,0.0,3.0,27.0,0.0,27.0,201,135.0,812.0,1528.0,1218.0,2331.0,0.0
175,10973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,148.0,148.0,183.0,33.0,383.0,0.0
176,10974.0,200.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,48,13.0,213.0,448.0,208.0,455.0,0.0
177,10977.0,4200.0,8400.0,0.0,0.0,21.0,161.0,37.0,198.0,2303,1355.0,5716.0,10901.0,8574.0,21802.0,1.0
